split,doc_id,severity,kind,item_id,surface_or_technique,normalized_id,evidence_preview,previous_basis,decision,adjudication_basis,reviewer,review_date
dev,aa24-109a,review,exploited_by_boundary_recertification_required,R13,T1068,,"Akira threat actors have also been observed leveraging services like 
Veeam.Backup.MountService.exe
 for privilege escalation (
CVE-2024-40711
) [
T1068
].",verified single-endpoint factual clause,ACCEPT,chapter3-boundary-sync-v1; same sentence or self-contained clause with an explicit exploitation predicate; aa24-109a/R13 directly binds CVE-2024-40711 to T1068 as the exploit behavior,expert_adjudicator,2026-09-14
dev,aa24-109a,review,exploited_by_boundary_recertification_required,R4,T1190,,"FBI and cybersecurity researchers
1
observed Akira threat actors obtaining initial access to organizations through a virtual private network (VPN) service without multifactor authentication (MFA) configured,
2
mostly using known Common Vulnerabilities and Exposures (CVEs) [
T1190
], including:
CVE-2020-3259
 [
Common Weakness Enumeration (CWE)-200: Exposure of Sensitive Information to an Unauthorized Actor
];",verified single-endpoint factual clause,ACCEPT,chapter3-boundary-sync-v1; explicit governing list scope with an explicit exploitation predicate; aa24-109a/R4 directly binds CVE-2020-3259 to T1190 as the exploit behavior,expert_adjudicator,2026-09-14
dev,aa24-249a,blocking,weakness_without_local_explicit_cwe,E11,cross-site scripting,CWE-79," For example, the Acunetix vulnerability scanning tool has been used for gathering information on potential vulnerabilities such as blind cross-site scripting, as shown in the following commands: GET /index.",,REJECT,rejected under chapter3-boundary-sync-v1: descriptive weakness phrase lacks a locally explicit CWE in the source fact block; archived in data/annotations/quarantine/chapter3-boundary-sync-v1/rejected_items.json,expert_adjudicator,2026-09-14
dev,aa24-249a,review,exploited_by_boundary_recertification_required,R1,T1190,,"Analysis concluded Unit 29155 cyber actors have exploited the following CVEs for initial access [T1190], as detailed throughout this advisory:  CVE-2021-33044 (Dahua Security)",verified single-endpoint factual clause,ACCEPT,chapter3-boundary-sync-v1; same sentence or self-contained clause with an explicit exploitation predicate; aa24-249a/R1 directly binds CVE-2021-33044 to T1190 as the exploit behavior,expert_adjudicator,2026-09-14
dev,aa25-239a,blocking,weakness_without_local_explicit_cwe,E11,command injection,CWE-78," Example exploited CVEs, ordered by year, include:  CVE-2024-21887 - Ivanti Connect Secure and Ivanti Policy Secure web-component command injection vulnerability, commonly chained after CVE-2023-46805 (authentication bypass)  CVE-2024-3400 - Palo Alto Networks PAN-OS GlobalProtect arbitrary file c",,REJECT,rejected under chapter3-boundary-sync-v1: descriptive weakness phrase lacks a locally explicit CWE in the source fact block; archived in data/annotations/quarantine/chapter3-boundary-sync-v1/rejected_items.json,expert_adjudicator,2026-09-14
dev,aa25-239a,review,exploited_by_boundary_recertification_required,R7,T1068,,T1068 Exploit CVE-2023-20273 to gain root- level user privileges,verified explicit verb binding: 'Exploit CVE-2023-20273' via T1068 (Exploitation for Privilege Escalation) as direct exploitation vector per Section 3 guideline,ACCEPT,chapter3-boundary-sync-v1; same sentence or self-contained clause with an explicit exploitation predicate; aa25-239a/R7 directly binds CVE-2023-20273 to T1068 as the exploit behavior,expert_adjudicator,2026-09-14
dev,accellion-fta-google-accellion-data-theft-extortion,blocking,weakness_without_local_explicit_cwe,E10,OS command execution,CWE-78,"CVE-2021-27104 - OS command execution via a crafted POST request
",,REJECT,rejected under chapter3-boundary-sync-v1: descriptive weakness phrase lacks a locally explicit CWE in the source fact block; archived in data/annotations/quarantine/chapter3-boundary-sync-v1/rejected_items.json,expert_adjudicator,2026-09-14
dev,accellion-fta-google-accellion-data-theft-extortion,blocking,weakness_without_local_explicit_cwe,E5,SQL injection,CWE-89,"CVE-2021-27101 - SQL injection via a crafted Host header
",,REJECT,rejected under chapter3-boundary-sync-v1: descriptive weakness phrase lacks a locally explicit CWE in the source fact block; archived in data/annotations/quarantine/chapter3-boundary-sync-v1/rejected_items.json,expert_adjudicator,2026-09-14
dev,accellion-fta-google-accellion-data-theft-extortion,blocking,weakness_without_local_explicit_cwe,E6,OS command execution,CWE-78,"CVE-2021-27102 - OS command execution via a local web service call
",,REJECT,rejected under chapter3-boundary-sync-v1: descriptive weakness phrase lacks a locally explicit CWE in the source fact block; archived in data/annotations/quarantine/chapter3-boundary-sync-v1/rejected_items.json,expert_adjudicator,2026-09-14
dev,accellion-fta-google-accellion-data-theft-extortion,blocking,weakness_without_local_explicit_cwe,E7,SSRF,CWE-918,"CVE-2021-27103 - SSRF via a crafted POST request
",,REJECT,rejected under chapter3-boundary-sync-v1: descriptive weakness phrase lacks a locally explicit CWE in the source fact block; archived in data/annotations/quarantine/chapter3-boundary-sync-v1/rejected_items.json,expert_adjudicator,2026-09-14
dev,confluence-nvd-confluence-26084,blocking,weakness_without_local_explicit_cwe,E2,OGNL injection,CWE-917,"- In affected versions of Confluence Server and Data Center, an OGNL injection vulnerability exists that would allow an unauthenticated attacker to execute arbitrary code on a Confluence Server or Data Center instance.",,REJECT,rejected under chapter3-boundary-sync-v1: descriptive weakness phrase lacks a locally explicit CWE in the source fact block; archived in data/annotations/quarantine/chapter3-boundary-sync-v1/rejected_items.json,expert_adjudicator,2026-09-14
dev,proxylogon-microsoft-hafnium-exchange,blocking,weakness_without_local_explicit_cwe,E14,arbitrary file write,CWE-22,CVE-2021-27065 is a post-authentication arbitrary file write vulnerability in Exchange.,,REJECT,rejected under chapter3-boundary-sync-v1: descriptive weakness phrase lacks a locally explicit CWE in the source fact block; archived in data/annotations/quarantine/chapter3-boundary-sync-v1/rejected_items.json,expert_adjudicator,2026-09-14
dev,proxylogon-microsoft-hafnium-exchange,blocking,weakness_without_local_explicit_cwe,E5,server-side request forgery,CWE-918,CVE-2021-26855 is a server-side request forgery (SSRF) vulnerability in Exchange which allowed the attacker to send arbitrary HTTP requests and authenticate as the Exchange server.,,REJECT,rejected under chapter3-boundary-sync-v1: descriptive weakness phrase lacks a locally explicit CWE in the source fact block; archived in data/annotations/quarantine/chapter3-boundary-sync-v1/rejected_items.json,expert_adjudicator,2026-09-14
dev,proxylogon-microsoft-hafnium-exchange,blocking,weakness_without_local_explicit_cwe,E6,insecure deserialization,CWE-502,CVE-2021-26857 is an insecure deserialization vulnerability in the Unified Messaging service.,,REJECT,rejected under chapter3-boundary-sync-v1: descriptive weakness phrase lacks a locally explicit CWE in the source fact block; archived in data/annotations/quarantine/chapter3-boundary-sync-v1/rejected_items.json,expert_adjudicator,2026-09-14
dev,proxylogon-microsoft-hafnium-exchange,blocking,weakness_without_local_explicit_cwe,E7,arbitrary file write,CWE-22,CVE-2021-26858 is a post-authentication arbitrary file write vulnerability in Exchange.,,REJECT,rejected under chapter3-boundary-sync-v1: descriptive weakness phrase lacks a locally explicit CWE in the source fact block; archived in data/annotations/quarantine/chapter3-boundary-sync-v1/rejected_items.json,expert_adjudicator,2026-09-14
test,aa23-131a,blocking,weakness_without_local_explicit_cwe,E15,improper access controls,CWE-284,"PaperCut servers vulnerable to CVE-2023-27350 implement improper access controls in the SetupCompleted Java class, allowing malicious actors to bypass user authentication and access the server as an administrator.",,REJECT,rejected under chapter3-boundary-sync-v1: descriptive weakness phrase lacks a locally explicit CWE in the source fact block; archived in data/annotations/quarantine/chapter3-boundary-sync-v1/rejected_items.json,expert_adjudicator,2026-09-14
test,aa23-250a,review,exploited_by_boundary_recertification_required,R11,T1190,,T1190 Actors exploited a known vulnerability (CVE-2022-47966) in the organization’s web server hosting Zoho ManageEngine ServiceDesk Plus.,verified single-endpoint factual clause,ACCEPT,chapter3-boundary-sync-v1; same sentence or self-contained clause with an explicit exploitation predicate; aa23-250a/R11 directly binds CVE-2022-47966 to T1190 as the exploit behavior,expert_adjudicator,2026-09-14
test,aa23-250a,review,exploited_by_boundary_recertification_required,R12,T1068,,"T1068 Through exploitation of CVE-2022-47966, actors were given root level access on the web server and created a local user account named Azure with administrative privileges.",verified single-endpoint factual clause,ACCEPT,chapter3-boundary-sync-v1; same sentence or self-contained clause with an explicit exploitation predicate; aa23-250a/R12 directly binds CVE-2022-47966 to T1068 as the exploit behavior,expert_adjudicator,2026-09-14
test,aa23-250a,review,exploited_by_boundary_recertification_required,R4,T1190,,"3, APT actors exploited CVE-2022-47966 [T1190] for initial acces",verified single-endpoint factual clause,ACCEPT,chapter3-boundary-sync-v1; same sentence or self-contained clause with an explicit exploitation predicate; aa23-250a/R4 directly binds CVE-2022-47966 to T1190 as the exploit behavior,expert_adjudicator,2026-09-14
test,aa23-250a-manageengine-cve-47966,review,exploited_by_boundary_recertification_required,R4,T1190,,"APT actors exploited CVE-2022-47966 [
T1190",verified single-endpoint factual clause,ACCEPT,chapter3-boundary-sync-v1; same sentence or self-contained clause with an explicit exploitation predicate; aa23-250a-manageengine-cve-47966/R4 directly binds CVE-2022-47966 to T1190 as the exploit behavior,expert_adjudicator,2026-09-14
test,aa23-250a-manageengine-cve-47966,review,exploited_by_boundary_recertification_required,R5,T1068,,"T1068
Through exploitation of CVE-2022-47966",verified single-endpoint factual clause,ACCEPT,chapter3-boundary-sync-v1; same sentence or self-contained clause with an explicit exploitation predicate; aa23-250a-manageengine-cve-47966/R5 directly binds CVE-2022-47966 to T1068 as the exploit behavior,expert_adjudicator,2026-09-14
test,aa23-250a-manageengine-cve-47966,review,exploited_by_boundary_recertification_required,R6,T1190,,"T1190
Actors exploited a known vulnerability (CVE-2022-47966) in the organization’s web server hosting Zoho ManageEngine ServiceDesk Plus.",verified single-endpoint factual clause,ACCEPT,chapter3-boundary-sync-v1; same sentence or self-contained clause with an explicit exploitation predicate; aa23-250a-manageengine-cve-47966/R6 directly binds CVE-2022-47966 to T1190 as the exploit behavior,expert_adjudicator,2026-09-14
test,aa23-352a,review,exploited_by_boundary_recertification_required,R10,T1190,,exploited CVE-2024-57727 in remote monitoring and management (RMM) tool SimpleHelp [T1190,verified single-endpoint factual clause,ACCEPT,chapter3-boundary-sync-v1; same sentence or self-contained clause with an explicit exploitation predicate; aa23-352a/R10 directly binds CVE-2024-57727 to T1190 as the exploit behavior,expert_adjudicator,2026-09-14
test,aa23-352a,review,exploited_by_boundary_recertification_required,R6,T1190,,"The Play ransomware group gains initial access to victim networks through the abuse of valid accounts, likely purchased on the dark web [T1078], and exploitation of public-facing applications [T1190], specifically through known FortiOS (CVE-2018-13379 and CVE-2020-12812) and Microsoft Exchange (ProxyNotShell [CVE-2022-41040 and CVE-2022-41082]) vulnerabilities.",verified single-endpoint factual clause,ACCEPT,chapter3-boundary-sync-v1; explicit governing list scope with an explicit exploitation predicate; aa23-352a/R6 directly binds CVE-2018-13379 to T1190 as the exploit behavior,expert_adjudicator,2026-09-14
test,aa24-016a,blocking,weakness_without_local_explicit_cwe,E11,path traversal,CWE-22, Threat actors can identify uniform resource locators (URLs) for files outside root directory through a path traversal attack [T1083].,,REJECT,rejected under chapter3-boundary-sync-v1: descriptive weakness phrase lacks a locally explicit CWE in the source fact block; archived in data/annotations/quarantine/chapter3-boundary-sync-v1/rejected_items.json,expert_adjudicator,2026-09-14
test,aa24-016a,blocking,weakness_without_local_explicit_cwe,E42,un-serialized call,CWE-502," The vulnerability defined in CVE-2018-15133 indicates that on Laravel applications, XSRF token values are subject to an un-serialized call, which can allow for remote code execution.",,REJECT,rejected under chapter3-boundary-sync-v1: descriptive weakness phrase lacks a locally explicit CWE in the source fact block; archived in data/annotations/quarantine/chapter3-boundary-sync-v1/rejected_items.json,expert_adjudicator,2026-09-14
test,aa24-016a,review,exploited_by_boundary_recertification_required,R5,T1190,,"In particular, threat actors deploying Androxgh0st have been observed exploiting CVE-2017-9841 to remotely run hypertext preprocessor (PHP) code on fallible websites via PHPUnit [T1190].",verified single-endpoint factual clause,ACCEPT,chapter3-boundary-sync-v1; same sentence or self-contained clause with an explicit exploitation predicate; aa24-016a/R5 directly binds CVE-2017-9841 to T1190 as the exploit behavior,expert_adjudicator,2026-09-14
test,aa24-016a,review,exploited_by_boundary_recertification_required,R7,T1190,,Exploit Public- Facing Application T1190 The threat actor exploits CVE-2017-9841 to remotely run hypertext preprocessor (PHP) code on websites via PHPUnit.,verified single-endpoint factual clause,ACCEPT,chapter3-boundary-sync-v1; same sentence or self-contained clause with an explicit exploitation predicate; aa24-016a/R7 directly binds CVE-2017-9841 to T1190 as the exploit behavior,expert_adjudicator,2026-09-14
test,aa24-016a-androxgh0st,blocking,weakness_without_local_explicit_cwe,E11,un-serialized call,CWE-502," indicates that on Laravel applications, XSRF token values are subject to an un-serialized call, which can allow for remote code execution.",,REJECT,rejected under chapter3-boundary-sync-v1: descriptive weakness phrase lacks a locally explicit CWE in the source fact block; archived in data/annotations/quarantine/chapter3-boundary-sync-v1/rejected_items.json,expert_adjudicator,2026-09-14
test,aa24-016a-androxgh0st,blocking,weakness_without_local_explicit_cwe,E12,path traversal,CWE-22," Threat actors can identify uniform resource locators (URLs) for files outside root directory through a path traversal attack [
",,REJECT,rejected under chapter3-boundary-sync-v1: descriptive weakness phrase lacks a locally explicit CWE in the source fact block; archived in data/annotations/quarantine/chapter3-boundary-sync-v1/rejected_items.json,expert_adjudicator,2026-09-14
test,aa24-016a-androxgh0st,review,exploited_by_boundary_recertification_required,R2,T1190,,"In particular, threat actors deploying Androxgh0st have been observed exploiting 
CVE-2017-9841
 to remotely run hypertext preprocessor (PHP) code on fallible websites via PHPUnit [
T1190
].",verified single-endpoint factual clause,ACCEPT,chapter3-boundary-sync-v1; same sentence or self-contained clause with an explicit exploitation predicate; aa24-016a-androxgh0st/R2 directly binds CVE-2017-9841 to T1190 as the exploit behavior,expert_adjudicator,2026-09-14
test,aa24-016a-androxgh0st,review,exploited_by_boundary_recertification_required,R7,T1190,,"T1190
The threat actor exploits 
CVE-2017-9841",verified single-endpoint factual clause,ACCEPT,chapter3-boundary-sync-v1; same sentence or self-contained clause with an explicit exploitation predicate; aa24-016a-androxgh0st/R7 directly binds CVE-2017-9841 to T1190 as the exploit behavior,expert_adjudicator,2026-09-14
test,aa24-060b,blocking,weakness_without_local_explicit_cwe,E23,server-side request forgery,CWE-918,"[2] Following the actors’ developments, Ivanti disclosed three additional vulnerabilities: • CVE-2024-21893 is a server-side request forgery vulnerability in the SAML component of Ivanti Connect Secure (9.",,REJECT,rejected under chapter3-boundary-sync-v1: descriptive weakness phrase lacks a locally explicit CWE in the source fact block; archived in data/annotations/quarantine/chapter3-boundary-sync-v1/rejected_items.json,expert_adjudicator,2026-09-14
test,aa24-131a,review,exploited_by_boundary_recertification_required,R12,T1190,,T1190 Black Basta affiliates have exploited ConnectWise vulnerability CVE-2024-1709,verified single-endpoint factual clause,ACCEPT,chapter3-boundary-sync-v1; same sentence or self-contained clause with an explicit exploitation predicate; aa24-131a/R12 directly binds CVE-2024-1709 to T1190 as the exploit behavior,expert_adjudicator,2026-09-14
test,aa24-131a,review,exploited_by_boundary_recertification_required,R7,T1190,,exploiting ConnectWise vulnerability CVE-2024- 1709 [CWE-288] [T1190],verified single-endpoint factual clause,ACCEPT,chapter3-boundary-sync-v1; same sentence or self-contained clause with an explicit exploitation predicate; aa24-131a/R7 directly binds CVE-2024-1709 to T1190 as the exploit behavior,expert_adjudicator,2026-09-14
test,aa24-131a-black-basta-cve-1709,review,exploited_by_boundary_recertification_required,R11,T1068,,"According to cybersecurity researchers, Black Basta affiliates have also exploited ZeroLogon (
CVE-2020-1472
 [
CWE-330
]), NoPac (
CVE-2021-42278
 [
CWE-20
] and 
CVE-2021-42287
 [
CWE-269
]), and PrintNightmare (
CVE-2021-34527
 [
CWE-269
]) vulnerabilities for local and Windows Active Domain privilege escalation [
T1068
].",verified single-endpoint factual clause,ACCEPT,chapter3-boundary-sync-v1; explicit governing list scope with an explicit exploitation predicate; aa24-131a-black-basta-cve-1709/R11 directly binds CVE-2021-34527 to T1068 as the exploit behavior,expert_adjudicator,2026-09-14
test,aa24-131a-black-basta-cve-1709,review,exploited_by_boundary_recertification_required,R16,T1190,,"T1190
Black Basta affiliates have exploited ConnectWise vulnerability 
CVE-2024-1709",verified single-endpoint factual clause,ACCEPT,chapter3-boundary-sync-v1; same sentence or self-contained clause with an explicit exploitation predicate; aa24-131a-black-basta-cve-1709/R16 directly binds CVE-2024-1709 to T1190 as the exploit behavior,expert_adjudicator,2026-09-14
test,aa24-131a-black-basta-cve-1709,review,exploited_by_boundary_recertification_required,R20,T1068,,"According to cybersecurity researchers, Black Basta affiliates have also exploited ZeroLogon (
CVE-2020-1472
 [
CWE-330
]), NoPac (
CVE-2021-42278
 [
CWE-20
] and 
CVE-2021-42287
 [
CWE-269
]), and PrintNightmare (
CVE-2021-34527
 [
CWE-269
]) vulnerabilities for local and Windows Active Domain privilege escalation [
T1068
].",verified single-endpoint factual clause,ACCEPT,chapter3-boundary-sync-v1; explicit governing list scope with an explicit exploitation predicate; aa24-131a-black-basta-cve-1709/R20 directly binds CVE-2021-34527 to T1068 as the exploit behavior,expert_adjudicator,2026-09-14
test,aa24-131a-black-basta-cve-1709,review,exploited_by_boundary_recertification_required,R7,T1190,,"Starting in February 2024, Black Basta affiliates began exploiting ConnectWise vulnerability 
CVE-2024-1709
 [
CWE-288
] [
T1190
].",verified single-endpoint factual clause,ACCEPT,chapter3-boundary-sync-v1; same sentence or self-contained clause with an explicit exploitation predicate; aa24-131a-black-basta-cve-1709/R7 directly binds CVE-2024-1709 to T1190 as the exploit behavior,expert_adjudicator,2026-09-14
test,ivanti-connect-secure-cisa-ivanti-multiple-vulnerabilities,blocking,weakness_without_local_explicit_cwe,E23,server-side request forgery,CWE-918,is a server-side request forgery vulnerability in the SAML component of Ivanti Connect Secure (9.,,REJECT,rejected under chapter3-boundary-sync-v1: descriptive weakness phrase lacks a locally explicit CWE in the source fact block; archived in data/annotations/quarantine/chapter3-boundary-sync-v1/rejected_items.json,expert_adjudicator,2026-09-14
train,aa22-138b-vmware-cve-22954,blocking,weakness_without_local_explicit_cwe,E18,server-side template injection,CWE-1336, enables an actor with network access to trigger a server-side template injection that may result in RCE.,,REJECT,rejected under chapter3-boundary-sync-v1: descriptive weakness phrase lacks a locally explicit CWE in the source fact block; archived in data/annotations/quarantine/chapter3-boundary-sync-v1/rejected_items.json,expert_adjudicator,2026-09-14
train,aa22-138b-vmware-cve-22954,blocking,weakness_without_local_explicit_cwe,E5,server-side template injection,CWE-1336, Exploiting these vulnerabilities permits malicious actors to trigger a server-side template injection that may result in remote code execution (RCE) (CVE-2022-22954) or escalation of privileges to root (CVE-2022-22960).,,REJECT,rejected under chapter3-boundary-sync-v1: descriptive weakness phrase lacks a locally explicit CWE in the source fact block; archived in data/annotations/quarantine/chapter3-boundary-sync-v1/rejected_items.json,expert_adjudicator,2026-09-14
train,aa22-138b-vmware-cve-22954,review,exploited_by_boundary_recertification_required,R6,T1203,,"On April 12, TA1 exploited CVE 2022-22954 [
T1203",verified single-endpoint factual clause,ACCEPT,chapter3-boundary-sync-v1; same sentence or self-contained clause with an explicit exploitation predicate; aa22-138b-vmware-cve-22954/R6 directly binds CVE-2022-22954 to T1203 as the exploit behavior,expert_adjudicator,2026-09-14
train,aa22-138b-vmware-cve-22954,review,exploited_by_boundary_recertification_required,R7,T1068,,"TA1 then chained CVE 2022-22960 to the initial exploit to run the shell script with root privileges ([
T1068",verified single-endpoint factual clause,ACCEPT,chapter3-boundary-sync-v1; same sentence or self-contained clause with an explicit exploitation predicate; aa22-138b-vmware-cve-22954/R7 directly binds CVE-2022-22960 to T1068 as the exploit behavior,expert_adjudicator,2026-09-14
train,aa22-321a,review,exploited_by_boundary_recertification_required,R2,T1190,,and by exploiting the following vulnerabilities against Microsoft Exchange servers [T1190]: • CVE-2021-31207 - Microsoft Exchange Server Security Feature Bypass Vulnerability,verified single-endpoint factual clause,ACCEPT,chapter3-boundary-sync-v1; same sentence or self-contained clause with an explicit exploitation predicate; aa22-321a/R2 directly binds CVE-2021-31207 to T1190 as the exploit behavior,expert_adjudicator,2026-09-14
train,aa22-321a-hive-exchange,review,exploited_by_boundary_recertification_required,R7,T1190,,"Hive actors have also gained initial access to victim networks by distributing phishing emails with malicious attachments [
T1566.001
] and by exploiting the following vulnerabilities against Microsoft Exchange servers [
T1190
]:
CVE-2021-31207
 - Microsoft Exchange Server Security Feature Bypass Vulnerability",verified single-endpoint factual clause,ACCEPT,chapter3-boundary-sync-v1; same sentence or self-contained clause with an explicit exploitation predicate; aa22-321a-hive-exchange/R7 directly binds CVE-2021-31207 to T1190 as the exploit behavior,expert_adjudicator,2026-09-14
train,aa22-335a,review,exploited_by_boundary_recertification_required,R1,T1068,,Used a tool to exploit CVE-2020-1472 (also known as “ZeroLogon”) to gain Domain Administrative privileges [T1068].,verified single-endpoint factual clause,ACCEPT,chapter3-boundary-sync-v1; same sentence or self-contained clause with an explicit exploitation predicate; aa22-335a/R1 directly binds CVE-2020-1472 to T1068 as the exploit behavior,expert_adjudicator,2026-09-14
train,aa23-074a,blocking,weakness_without_local_explicit_cwe,E6,deserialization,CWE-502,NET deserialization vulnerability (CVE-2019-18935) in Progress Telerik user interface (UI) for ASP.,,REJECT,rejected under chapter3-boundary-sync-v1: descriptive weakness phrase lacks a locally explicit CWE in the source fact block; archived in data/annotations/quarantine/chapter3-boundary-sync-v1/rejected_items.json,expert_adjudicator,2026-09-14
train,aa23-074a,blocking,weakness_without_local_explicit_cwe,E78,.NET deserialization,CWE-502," Overview CISA and authoring organizations assess that, beginning as late as November 2022, threat actors successfully exploited a .NET deserialization vulnerability (CVE-2019-18935) in an instance of Telerik UI for ASP.",,REJECT,rejected under chapter3-boundary-sync-v1: descriptive weakness phrase lacks a locally explicit CWE in the source fact block; archived in data/annotations/quarantine/chapter3-boundary-sync-v1/rejected_items.json,expert_adjudicator,2026-09-14
train,aa23-074a,review,exploited_by_boundary_recertification_required,R12,T1190,,APT actors exploited CVE-2017-9248 in the agency’s IIS server [T1190].,verified single-endpoint factual clause,ACCEPT,chapter3-boundary-sync-v1; same sentence or self-contained clause with an explicit exploitation predicate; aa23-074a/R12 directly binds CVE-2017-9248 to T1190 as the exploit behavior,expert_adjudicator,2026-09-14
train,aa23-074a,review,exploited_by_boundary_recertification_required,R2,T1190,,Table 7: Initial Access Technique Title ID Use Exploit Public-Facing Application T1190 APT actors exploited CVE-2017-9248 in an FCEB agency’s Microsoft IIS server.,verified single-endpoint factual clause,ACCEPT,chapter3-boundary-sync-v1; same sentence or self-contained clause with an explicit exploitation predicate; aa23-074a/R2 directly binds CVE-2017-9248 to T1190 as the exploit behavior,expert_adjudicator,2026-09-14
